timestamp,asset,current_close,predicted_close,actual_close,predicted_direction,actual_direction,probability,tech_signal,correct,running_bankroll
2026-07-06 21:22:00+00:00,BTC,64338.69,64341.99609375,64262.0,UP,DOWN,0.5041,NEUTRAL,False,995.9
2026-07-06 21:27:00+00:00,BTC,64262.0,64369.08203125,64288.0,UP,UP,0.6286,NEUTRAL,True,1123.97
2026-07-06 21:32:00+00:00,BTC,64288.0,64219.94921875,64180.31,DOWN,DOWN,0.5834,NEUTRAL,True,1217.71
2026-07-06 21:37:00+00:00,BTC,64180.31,64166.4609375,64197.31,DOWN,UP,0.5173,NEUTRAL,False,1196.65
2026-07-06 21:42:00+00:00,BTC,64197.31,64197.2734375,64205.89,DOWN,UP,0.5,NEUTRAL,False,1196.65
2026-07-06 21:47:00+00:00,BTC,64205.89,64148.69921875,64422.01,DOWN,UP,0.5705,NEUTRAL,False,1112.28
2026-07-06 21:52:00+00:00,BTC,64422.01,64415.28515625,64398.01,DOWN,DOWN,0.5083,UP,True,1121.51
2026-07-06 21:57:00+00:00,BTC,64398.01,64442.21484375,64398.0,UP,DOWN,0.5546,UP,False,1060.28
2026-07-06 22:02:00+00:00,BTC,64398.0,64444.1171875,64321.55,UP,DOWN,0.5569,NEUTRAL,False,999.95
2026-07-06 22:07:00+00:00,BTC,64321.55,64362.234375,64370.33,UP,UP,0.5503,NEUTRAL,True,1050.25
2026-07-06 22:12:00+00:00,BTC,64370.33,64381.1015625,64376.0,UP,UP,0.5134,NEUTRAL,True,1064.32
2026-07-06 22:17:00+00:00,BTC,64376.0,64393.65234375,64310.28,UP,DOWN,0.5219,NEUTRAL,False,1041.01
2026-07-06 22:22:00+00:00,BTC,64310.28,64410.625,64224.0,UP,DOWN,0.6209,DOWN,False,915.15
2026-07-06 22:27:00+00:00,BTC,64224.0,64253.93359375,64199.99,UP,DOWN,0.5372,DOWN,False,881.11
2026-07-06 22:32:00+00:00,BTC,64199.99,64232.796875,64198.0,UP,DOWN,0.5407,DOWN,False,845.25
2026-07-06 22:37:00+00:00,BTC,64198.0,64194.64453125,64198.0,DOWN,DOWN,0.5042,DOWN,True,848.8
2026-07-06 22:42:00+00:00,BTC,64198.0,64162.3125,64175.99,DOWN,DOWN,0.5443,NEUTRAL,True,886.4
2026-07-06 22:47:00+00:00,BTC,64175.99,64205.96484375,64250.36,UP,UP,0.5373,NEUTRAL,True,919.46
2026-07-06 22:52:00+00:00,BTC,64250.36,64266.859375,64213.99,UP,DOWN,0.5205,NEUTRAL,False,900.61
2026-07-06 22:57:00+00:00,BTC,64213.99,64219.4453125,64304.01,UP,UP,0.5068,NEUTRAL,True,906.74
